TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Channel,CustomerOccupation,Location,Target
20.54,51.0,72.0,1.0,5327.03,Atlanta,Albuquerque,Baltimore,Indianapolis,7.0
475.36,34.0,105.0,1.0,2000.6,Atlanta,Albuquerque,Atlanta,Detroit,3.0
34.74,56.0,24.0,1.0,6827.57,Atlanta,Austin,Austin,Washington,2.0
689.54,27.0,93.0,1.0,1633.76,Atlanta,Atlanta,Baltimore,Nashville,8.0
211.18,73.0,90.0,1.0,4069.1699999999996,Atlanta,Atlanta,Albuquerque,Atlanta,0.0
211.36,51.0,286.0,1.0,7943.469999999999,Atlanta,Austin,Atlanta,San Antonio,6.0
744.41,39.0,107.0,1.0,8842.47,Atlanta,Atlanta,Atlanta,Los Angeles,1.0
61.43,24.0,170.0,1.0,1882.77,Atlanta,Atlanta,Atlanta,San Jose,2.0
167.44,37.0,82.0,1.0,12526.71,Atlanta,Atlanta,Austin,Nashville,8.0
361.46,21.0,83.0,1.0,4737.84,Atlanta,Albuquerque,Atlanta,Miami,8.0
378.85,78.0,126.0,1.0,2300.53,Atlanta,Atlanta,Atlanta,Colorado Springs,5.0
241.10999999999999,30.0,55.0,1.0,12385.05,Atlanta,Austin,Baltimore,Boston,0.0
131.93,31.0,13.0,1.0,4547.06,Atlanta,Albuquerque,Albuquerque,Colorado Springs,5.0
20.28,36.0,213.0,1.0,2047.83,Atlanta,Albuquerque,Atlanta,Mesa,1.0
415.88,70.0,170.0,1.0,10008.33,Atlanta,Austin,Albuquerque,Colorado Springs,5.0
1221.65,27.0,153.0,1.0,243.92,Atlanta,Albuquerque,Baltimore,Chicago,5.0
100.66,50.0,144.0,1.0,14473.33,Atlanta,Atlanta,Austin,Austin,0.0
485.54,19.0,148.0,1.0,1533.32,Albuquerque,Austin,Albuquerque,Oklahoma City,8.0
321.15,46.0,179.0,1.0,7005.05,Atlanta,Albuquerque,Austin,Colorado Springs,5.0
711.3,21.0,51.00000000000001,1.0,955.4,Austin,Albuquerque,Atlanta,Raleigh,6.0
12.23,42.0,139.0,1.0,7844.880000000001,Atlanta,Albuquerque,Austin,Fresno,3.0
350.94,20.0,64.0,1.0,221.56,Albuquerque,Atlanta,Albuquerque,Dallas,5.0
301.85,54.0,25.000000000000004,1.0,6586.19,Atlanta,Austin,Baltimore,Albuquerque,0.0
29.34,65.0,30.0,1.0,3944.82,Atlanta,Albuquerque,Albuquerque,Atlanta,0.0
231.71,27.0,148.0,1.0,1127.98,Atlanta,Atlanta,Albuquerque,El Paso,3.0
179.43,58.0,244.0,1.0,2626.63,Atlanta,Austin,Albuquerque,Oklahoma City,8.0
36.71,48.0,55.0,1.0,6459.38,Atlanta,Albuquerque,Albuquerque,Austin,0.0
138.12,53.0,281.0,1.0,1649.69,Albuquerque,Albuquerque,Baltimore,Phoenix,4.0
233.24,33.0,72.0,1.0,6939.23,Atlanta,Atlanta,Atlanta,Phoenix,4.0
609.14,39.0,177.0,1.0,9033.87,Albuquerque,Austin,Atlanta,Denver,3.0
436.64,31.0,111.0,1.0,14365.18,Atlanta,Atlanta,Austin,New York,8.0
870.43,29.0,55.0,1.0,10115.18,Atlanta,Austin,Austin,Los Angeles,1.0
354.4,74.0,128.0,1.0,7358.65,Atlanta,Albuquerque,Baltimore,San Antonio,6.0
22.63,53.0,112.0,1.0,4438.03,Atlanta,Austin,Atlanta,El Paso,3.0
182.19,26.0,53.00000000000001,1.0,1176.1,Atlanta,Albuquerque,Albuquerque,Seattle,2.0
126.81,26.0,290.0,1.0,5427.98,Atlanta,Albuquerque,Baltimore,Omaha,4.0
288.17,37.0,50.00000000000001,1.0,3653.11,Albuquerque,Austin,Baltimore,San Jose,2.0
118.77,55.0,123.0,1.0,2104.82,Atlanta,Atlanta,Austin,Columbus,5.0
651.82,21.0,166.0,1.0,1802.77,Atlanta,Austin,Baltimore,Jacksonville,7.0
66.65,37.0,33.0,1.0,3559.96,Albuquerque,Baltimore,Albuquerque,Sacramento,6.0
98.53,69.0,166.0,1.0,3564.8,Atlanta,Albuquerque,Atlanta,Colorado Springs,5.0
138.95,71.0,30.0,1.0,6752.92,Atlanta,Albuquerque,Albuquerque,Louisville,1.0
33.89,26.0,177.0,1.0,1444.75,Atlanta,Atlanta,Austin,Raleigh,6.0
23.71,58.0,164.0,1.0,10788.89,Albuquerque,Atlanta,Albuquerque,Tucson,2.0
1830.0,55.0,238.0,1.0,2235.7,Albuquerque,Albuquerque,Albuquerque,Omaha,4.0
26.06,65.0,283.0,1.0,12893.63,Albuquerque,Albuquerque,Baltimore,San Antonio,6.0
17.07,27.0,44.0,1.0,2798.15,Atlanta,Albuquerque,Baltimore,San Francisco,6.0
703.89,46.0,61.99999999999999,1.0,3583.67,Atlanta,Atlanta,Boston,Dallas,5.0
1271.9,47.0,155.0,1.0,2120.8,Atlanta,Atlanta,Austin,Oklahoma City,8.0
26.55,77.0,228.0,1.0,3085.38,Atlanta,Baltimore,Atlanta,Kansas City,7.0
147.4,42.0,259.0,1.0,6797.71,Albuquerque,Austin,Albuquerque,Albuquerque,0.0
202.11,27.0,18.0,1.0,746.47,Atlanta,Albuquerque,Austin,El Paso,3.0
308.42,75.0,39.0,1.0,5427.81,Atlanta,Atlanta,Atlanta,New York,8.0
11.18,53.0,144.0,1.0,7467.300000000001,Atlanta,Austin,Baltimore,Colorado Springs,5.0
294.15,38.0,136.0,1.0,6362.16,Atlanta,Austin,Albuquerque,Virginia Beach,2.0
139.45,27.0,30.999999999999996,1.0,1305.76,Atlanta,Albuquerque,Austin,Philadelphia,4.0
432.63,29.0,137.0,1.0,13648.36,Atlanta,Austin,Atlanta,Houston,7.0
131.43,43.0,65.0,1.0,1337.5,Albuquerque,Atlanta,Atlanta,Boston,0.0
516.72,42.0,128.0,1.0,2015.6900000000003,Albuquerque,Atlanta,Baltimore,Denver,3.0
121.82000000000001,69.0,123.0,3.0,8354.54,Atlanta,Atlanta,Atlanta,Raleigh,6.0
374.5,26.0,178.0,1.0,1671.51,Albuquerque,Austin,Austin,Omaha,4.0
166.13,68.0,227.0,1.0,11822.53,Atlanta,Austin,Albuquerque,Sacramento,6.0
626.9,23.0,146.0,1.0,587.1099999999999,Albuquerque,Atlanta,Atlanta,Austin,0.0
466.85,56.0,165.0,1.0,5422.53,Atlanta,Atlanta,Atlanta,Albuquerque,0.0
788.84,58.0,231.0,1.0,1913.73,Atlanta,Atlanta,Austin,Phoenix,4.0
525.28,69.0,134.0,1.0,4693.6,Atlanta,Austin,Baltimore,Miami,8.0
110.17,30.0,137.0,1.0,464.2,Albuquerque,Albuquerque,Austin,Sacramento,6.0
632.69,80.0,75.99999999999999,1.0,4363.74,Atlanta,Atlanta,Baltimore,Boston,0.0
124.35,72.0,90.0,1.0,3319.76,Atlanta,Albuquerque,Baltimore,El Paso,3.0
43.85,62.0,122.0,1.0,4356.98,Atlanta,Albuquerque,Atlanta,Milwaukee,8.0
283.81,28.0,29.000000000000004,1.0,1519.35,Atlanta,Austin,Austin,Austin,0.0
168.53,71.0,112.0,1.0,5962.58,Atlanta,Albuquerque,Albuquerque,Charlotte,5.0
218.59,40.0,123.0,1.0,6699.23,Atlanta,Austin,Atlanta,Philadelphia,4.0
132.84,21.0,143.0,1.0,822.73,Albuquerque,Atlanta,Austin,Nashville,8.0
157.37,42.0,289.0,1.0,13964.31,Atlanta,Atlanta,Austin,Milwaukee,8.0
144.77,20.0,159.0,1.0,867.3199999999999,Atlanta,Austin,Boston,Detroit,3.0
643.22,64.0,93.0,1.0,1035.86,Atlanta,Austin,Austin,Atlanta,0.0
1392.54,41.0,297.0,1.0,13347.69,Austin,Albuquerque,Baltimore,Omaha,4.0
208.07,32.0,36.0,1.0,8478.9,Atlanta,Austin,Austin,Kansas City,7.0
295.5,59.0,36.0,1.0,6280.66,Atlanta,Albuquerque,Baltimore,San Jose,2.0
30.229999999999997,44.0,99.0,1.0,481.13,Atlanta,Albuquerque,Albuquerque,Fresno,3.0
112.05,26.0,159.0,1.0,1122.88,Atlanta,Albuquerque,Baltimore,Fort Worth,3.0
180.24,58.0,144.0,1.0,8431.23,Albuquerque,Austin,Atlanta,,2.0
13.71,38.0,148.0,1.0,8342.79,Atlanta,Albuquerque,Austin,Virginia Beach,2.0
96.54,58.0,95.0,1.0,7182.22,Atlanta,Albuquerque,Atlanta,Columbus,5.0
79.35,67.0,70.0,1.0,1692.15,Albuquerque,Austin,Austin,Colorado Springs,5.0
101.04,27.0,160.0,1.0,1695.57,Albuquerque,Atlanta,Baltimore,Raleigh,6.0
74.42,49.0,68.00000000000001,1.0,6264.21,Albuquerque,Albuquerque,Atlanta,Raleigh,6.0
39.66,52.0,169.0,1.0,8497.34,Atlanta,Austin,Austin,New York,8.0
99.36,40.0,45.99999999999999,1.0,1272.12,Albuquerque,Atlanta,Austin,Fresno,3.0
123.85,56.0,244.0,1.0,3959.62,Atlanta,Albuquerque,Atlanta,Nashville,8.0
426.93,19.0,247.99999999999997,1.0,476.18999999999994,Atlanta,Austin,Albuquerque,Milwaukee,8.0
133.73,25.0,123.0,1.0,1872.2200000000003,Atlanta,Austin,Atlanta,Detroit,3.0
222.39,49.0,73.0,1.0,3117.39,Albuquerque,Atlanta,Austin,Philadelphia,4.0
215.94,22.0,140.0,1.0,1841.69,Atlanta,Atlanta,Baltimore,Columbus,5.0
6.3,80.0,283.0,5.0,7697.680000000001,Austin,Atlanta,Albuquerque,Tucson,2.0
826.23,29.0,209.0,1.0,7580.590000000001,Atlanta,Atlanta,Atlanta,Denver,3.0
131.46,67.0,258.0,1.0,6642.33,Atlanta,Austin,Austin,Raleigh,6.0
202.86,61.0,149.0,1.0,7642.250000000001,Atlanta,Albuquerque,Atlanta,Omaha,4.0
268.39,26.0,171.0,1.0,136.74,Albuquerque,Baltimore,Albuquerque,San Antonio,6.0
194.85,23.0,130.0,4.0,319.84,Albuquerque,Austin,Albuquerque,Fresno,3.0
137.35,40.0,220.0,1.0,12662.66,Austin,Atlanta,Atlanta,Baltimore,0.0
712.75,44.0,25.000000000000004,1.0,8126.0599999999995,Albuquerque,Atlanta,Baltimore,Nashville,8.0
353.82,42.0,143.0,1.0,705.7499999999999,Atlanta,Albuquerque,Boston,,2.0
212.74,27.0,128.0,1.0,7645.469999999999,Atlanta,Albuquerque,Atlanta,San Diego,6.0
364.42,51.0,146.0,1.0,8119.73,Atlanta,Austin,Atlanta,Miami,8.0
195.12,46.0,144.0,1.0,6101.15,Atlanta,Austin,Atlanta,San Francisco,6.0
230.61,80.0,204.0,1.0,2561.42,Atlanta,Albuquerque,Austin,Kansas City,7.0
739.28,58.0,47.0,1.0,11905.64,Albuquerque,Atlanta,Austin,Detroit,3.0
390.35,64.0,61.00000000000001,1.0,7095.88,Atlanta,Atlanta,Albuquerque,Chicago,5.0
242.03000000000003,58.0,123.99999999999999,1.0,4382.73,Atlanta,Austin,Atlanta,Mesa,1.0
242.39000000000001,18.0,271.0,1.0,1328.73,Atlanta,Austin,Austin,Milwaukee,8.0
135.03,23.0,180.0,1.0,1278.0,Albuquerque,Austin,Baltimore,Omaha,4.0
83.5,61.0,91.0,5.0,1749.79,Atlanta,Albuquerque,Baltimore,Mesa,1.0
193.54,80.0,267.0,1.0,2929.51,Atlanta,Albuquerque,Albuquerque,El Paso,3.0
617.36,29.0,61.00000000000001,1.0,8926.38,Atlanta,Austin,Atlanta,Tucson,2.0
775.23,59.0,37.99999999999999,1.0,5977.59,Albuquerque,Austin,Boston,Charlotte,5.0
266.57,72.0,100.00000000000001,1.0,7676.92,Atlanta,Baltimore,Austin,Colorado Springs,5.0
153.4,45.0,144.0,1.0,4657.7,Atlanta,Austin,Atlanta,Chicago,5.0
946.94,53.0,251.0,1.0,5579.11,Albuquerque,Austin,Atlanta,Nashville,8.0
5.12,34.0,90.0,1.0,3293.01,Albuquerque,Albuquerque,Atlanta,Chicago,5.0
119.11,57.0,131.0,1.0,7998.25,Albuquerque,Atlanta,Baltimore,San Diego,6.0
1096.7,24.0,147.0,1.0,1093.89,Atlanta,Atlanta,Albuquerque,Washington,2.0
119.72,30.0,123.0,1.0,3435.34,Atlanta,Albuquerque,Albuquerque,Phoenix,4.0
107.4,58.0,32.0,1.0,344.07,Atlanta,Albuquerque,Albuquerque,Indianapolis,7.0
115.92,53.0,57.0,1.0,3897.17,Atlanta,Atlanta,Baltimore,Austin,0.0
438.04,67.0,247.0,1.0,5358.95,Albuquerque,Albuquerque,Atlanta,Detroit,3.0
677.29,27.0,287.0,1.0,627.79,Atlanta,Austin,Albuquerque,Jacksonville,7.0
296.0,35.0,247.99999999999997,1.0,7418.82,Atlanta,Atlanta,Albuquerque,Austin,0.0
299.09,36.0,84.00000000000001,1.0,5615.26,Albuquerque,Atlanta,Baltimore,Fort Worth,3.0
461.52,24.0,44.0,1.0,1995.1799999999998,Albuquerque,Atlanta,Austin,Virginia Beach,2.0
100.52,50.0,110.0,1.0,453.39,Atlanta,Albuquerque,Albuquerque,Tucson,2.0
85.35,66.0,166.0,1.0,2173.76,Atlanta,Austin,Atlanta,Fort Worth,3.0
79.76,39.0,170.0,1.0,6452.14,Albuquerque,Atlanta,Baltimore,Baltimore,0.0
778.49,75.0,107.0,1.0,7713.67,Atlanta,Albuquerque,Albuquerque,Denver,3.0
386.38,42.0,135.0,1.0,5528.36,Albuquerque,Austin,Austin,Los Angeles,1.0
165.25,35.0,106.0,1.0,9939.94,Albuquerque,Albuquerque,Atlanta,Baltimore,0.0
14.29,34.0,150.0,1.0,7016.99,Albuquerque,Atlanta,Atlanta,Sacramento,6.0
232.79,55.0,145.0,1.0,2661.3,Albuquerque,Austin,Atlanta,El Paso,3.0
1237.56,60.0,159.0,1.0,9410.17,Atlanta,Albuquerque,Austin,Seattle,2.0
293.97,68.0,153.0,1.0,7371.85,Atlanta,Austin,Albuquerque,Fresno,3.0
136.32,19.0,113.0,1.0,264.83,Atlanta,Albuquerque,Baltimore,Dallas,5.0
251.06,36.0,34.0,1.0,10001.66,Atlanta,Albuquerque,Austin,Charlotte,5.0
50.17,77.0,35.0,1.0,7752.140000000001,Atlanta,Austin,Atlanta,Memphis,1.0
21.4,34.0,258.0,1.0,9594.11,Atlanta,Albuquerque,Albuquerque,San Antonio,6.0
73.28,21.0,21.000000000000004,1.0,1329.41,Atlanta,Austin,Albuquerque,Louisville,1.0
70.23,38.0,260.0,1.0,11624.93,Albuquerque,Atlanta,Baltimore,Tucson,2.0
689.29,22.0,100.00000000000001,1.0,168.84,Atlanta,Albuquerque,Boston,Milwaukee,8.0
745.03,28.0,231.0,1.0,160.57,Atlanta,Atlanta,Atlanta,Dallas,5.0
54.61,58.0,160.0,1.0,7135.64,Atlanta,Atlanta,Atlanta,Charlotte,5.0
54.05,27.0,146.0,1.0,469.13999999999993,Atlanta,Albuquerque,Boston,Oklahoma City,8.0
107.47,67.0,144.0,1.0,7517.499999999999,Atlanta,Austin,Albuquerque,Raleigh,6.0
611.11,20.0,282.0,4.0,919.84,Atlanta,Atlanta,Baltimore,Colorado Springs,5.0
219.63,48.0,44.0,1.0,8013.63,Atlanta,Atlanta,Austin,Las Vegas,7.0
93.52,51.0,97.0,1.0,2791.2,Atlanta,Austin,Albuquerque,Dallas,5.0
275.92,62.0,107.0,1.0,1777.38,Albuquerque,Austin,Austin,Miami,8.0
376.79,68.0,265.0,1.0,7749.14,Atlanta,Atlanta,Atlanta,Chicago,5.0
8.98,66.0,56.0,1.0,4516.76,Atlanta,Atlanta,Albuquerque,Miami,8.0
697.32,68.0,91.0,1.0,2016.0200000000002,Atlanta,Albuquerque,Austin,Fort Worth,3.0
17.45,18.0,88.0,1.0,1959.52,Albuquerque,Austin,Atlanta,Los Angeles,1.0
302.16,80.0,138.0,5.0,3876.61,Albuquerque,Albuquerque,Atlanta,San Antonio,6.0
442.74,23.0,136.0,1.0,1790.27,Atlanta,Austin,Atlanta,Albuquerque,0.0
623.9,27.0,249.0,1.0,711.4699999999999,Albuquerque,Atlanta,Baltimore,New York,8.0
445.41,35.0,235.0,3.0,12154.66,Atlanta,Albuquerque,Atlanta,Philadelphia,4.0
63.41,26.0,36.0,1.0,1546.22,Atlanta,Atlanta,Baltimore,Atlanta,0.0
346.85,44.0,88.0,1.0,7208.15,Albuquerque,Austin,Atlanta,Boston,0.0
71.95,59.0,53.00000000000001,1.0,9267.32,Albuquerque,Austin,Austin,Mesa,1.0
7.5,63.0,36.0,1.0,6485.78,Albuquerque,Albuquerque,Austin,Boston,0.0
206.46,65.0,279.0,1.0,3984.38,Atlanta,Albuquerque,Baltimore,Columbus,5.0
423.11,60.0,47.0,1.0,412.78,Albuquerque,Atlanta,Albuquerque,Boston,0.0
35.84,54.0,172.0,1.0,4795.65,Atlanta,Albuquerque,Albuquerque,New York,8.0
88.6,28.0,105.0,1.0,246.57,Atlanta,Austin,Atlanta,Milwaukee,8.0
1431.3,18.0,168.00000000000003,1.0,1058.13,Albuquerque,Atlanta,Austin,Kansas City,7.0
22.46,54.0,78.0,1.0,6631.5,Atlanta,Atlanta,Baltimore,Seattle,2.0
334.89,21.0,260.0,1.0,1661.68,Albuquerque,Austin,Albuquerque,Philadelphia,4.0
319.27,54.0,59.00000000000001,1.0,5504.01,Atlanta,Albuquerque,Atlanta,Jacksonville,7.0
144.3,18.0,88.0,1.0,312.19,Atlanta,Albuquerque,Austin,,2.0
348.7,69.0,149.0,1.0,2445.58,Albuquerque,Atlanta,Atlanta,Virginia Beach,2.0
366.21,62.0,181.0,1.0,10862.99,Albuquerque,Atlanta,Atlanta,Oklahoma City,8.0
99.11,55.0,12.0,1.0,5414.87,Atlanta,Baltimore,Baltimore,Tucson,2.0
539.35,55.0,127.0,1.0,3919.4399999999996,Austin,Baltimore,Albuquerque,Philadelphia,4.0
188.99,58.0,91.99999999999999,1.0,7315.34,Atlanta,Austin,Atlanta,Denver,3.0
1416.69,46.0,58.00000000000001,1.0,3740.7300000000005,Atlanta,Albuquerque,Albuquerque,Sacramento,6.0
710.14,26.0,227.0,1.0,465.62999999999994,Austin,Austin,Baltimore,Portland,4.0
308.68,53.0,170.0,1.0,9992.36,Albuquerque,Atlanta,Baltimore,Portland,4.0
166.68,57.0,139.0,1.0,5141.19,Albuquerque,Atlanta,Atlanta,El Paso,3.0
505.18999999999994,30.0,128.0,5.0,5326.68,Atlanta,Atlanta,Albuquerque,Kansas City,7.0
66.58,23.0,79.0,1.0,1636.32,Albuquerque,Austin,Albuquerque,Houston,7.0
223.43,77.0,178.0,1.0,7932.410000000001,Albuquerque,Austin,Austin,Fresno,3.0
659.95,60.0,114.0,1.0,3927.6900000000005,Atlanta,Albuquerque,Atlanta,San Francisco,6.0
634.86,27.0,45.0,1.0,588.4999999999999,Atlanta,Atlanta,Albuquerque,Fresno,3.0
286.5,30.0,60.00000000000001,1.0,8517.95,Albuquerque,Austin,Austin,San Jose,2.0
322.96,76.0,168.00000000000003,1.0,2401.59,Atlanta,Albuquerque,Baltimore,Raleigh,6.0
654.48,19.0,114.0,1.0,6776.41,Atlanta,Atlanta,Atlanta,Mesa,1.0
157.97,48.0,140.0,1.0,5529.92,Atlanta,Austin,Albuquerque,Phoenix,4.0
120.90000000000002,40.0,52.00000000000001,1.0,9009.42,Atlanta,Austin,Baltimore,Sacramento,6.0
254.77,57.0,57.0,1.0,5994.87,Atlanta,Albuquerque,Austin,Baltimore,0.0
795.96,65.0,119.0,1.0,5468.58,Atlanta,Albuquerque,Albuquerque,Virginia Beach,2.0
149.25,39.0,142.0,1.0,5677.52,Albuquerque,Albuquerque,Baltimore,Fresno,3.0
3.42,43.0,158.0,1.0,14180.21,Atlanta,Austin,Baltimore,San Diego,6.0
68.19,40.0,189.0,1.0,9895.1,Atlanta,Atlanta,Albuquerque,Tucson,2.0
493.4200000000001,39.0,111.0,1.0,2232.84,Atlanta,Baltimore,Austin,Jacksonville,7.0
37.57,57.0,42.00000000000001,1.0,7739.54,Atlanta,Albuquerque,Baltimore,Las Vegas,7.0
127.00000000000001,19.0,68.00000000000001,5.0,431.16,Albuquerque,Atlanta,Austin,Chicago,5.0
96.89,59.0,53.00000000000001,1.0,6044.93,Atlanta,Austin,Baltimore,Milwaukee,8.0
448.33,25.0,161.0,1.0,922.19,Atlanta,Atlanta,Baltimore,San Francisco,6.0
1116.48,51.0,55.0,1.0,447.53,Albuquerque,Austin,Atlanta,Jacksonville,7.0
8.65,48.0,273.0,1.0,10778.35,Albuquerque,Atlanta,Atlanta,Seattle,2.0
539.81,46.0,177.0,1.0,2051.25,Atlanta,Austin,Albuquerque,Miami,8.0
363.53,63.0,142.0,1.0,1038.91,Atlanta,Albuquerque,Baltimore,Philadelphia,4.0
64.9,51.0,72.0,1.0,6854.61,Albuquerque,Austin,Baltimore,Fresno,3.0
358.18,18.0,157.0,1.0,619.86,Atlanta,Austin,Baltimore,Columbus,5.0
167.2,30.0,84.00000000000001,1.0,11320.83,Albuquerque,Atlanta,Baltimore,Milwaukee,8.0
121.90999999999998,60.0,133.0,1.0,14510.8,Atlanta,Atlanta,Atlanta,Las Vegas,7.0
137.57,54.0,70.0,1.0,5103.67,Atlanta,Albuquerque,Baltimore,Fresno,3.0
534.62,55.0,45.0,1.0,13793.53,Atlanta,Austin,Atlanta,Washington,2.0
463.92,50.0,199.0,1.0,2403.39,Atlanta,Austin,Austin,Las Vegas,7.0
320.14,60.0,96.0,1.0,3075.97,Atlanta,Austin,Austin,San Jose,2.0
214.93,28.0,52.00000000000001,1.0,7835.4,Atlanta,Austin,Austin,Tucson,2.0
660.02,20.0,84.00000000000001,1.0,414.43,Atlanta,Albuquerque,Baltimore,Kansas City,7.0
345.81,40.0,135.0,1.0,6116.8,Albuquerque,Atlanta,Austin,San Francisco,6.0
143.54,71.0,80.0,1.0,6067.62,Atlanta,Austin,Austin,Memphis,1.0
42.55,53.0,29.000000000000004,1.0,7341.43,Atlanta,Albuquerque,Austin,San Diego,6.0
1063.25,21.0,128.0,1.0,1240.71,Atlanta,Austin,Austin,San Antonio,6.0
541.79,22.0,125.0,1.0,1454.08,Albuquerque,Atlanta,Baltimore,Philadelphia,4.0
40.57,26.0,63.0,1.0,1476.91,Atlanta,Atlanta,Atlanta,Detroit,3.0
120.24000000000001,18.0,131.0,2.0,1943.1300000000003,Albuquerque,Atlanta,Albuquerque,Fresno,3.0
498.66999999999996,28.0,244.0,1.0,1719.97,Albuquerque,Austin,Atlanta,Indianapolis,7.0
227.22,53.0,220.0,1.0,832.82,Albuquerque,Atlanta,Albuquerque,Indianapolis,7.0
1182.86,30.0,34.0,1.0,7696.16,Atlanta,Atlanta,Atlanta,San Diego,6.0
56.94,76.0,74.0,1.0,7004.63,Atlanta,Albuquerque,Albuquerque,San Francisco,6.0
629.82,68.0,159.0,1.0,6385.69,Atlanta,Austin,Austin,Fresno,3.0
59.44,35.0,176.0,1.0,5472.03,Albuquerque,Austin,Albuquerque,Denver,3.0
186.69,30.0,53.99999999999999,1.0,8602.22,Atlanta,Atlanta,Atlanta,El Paso,3.0
230.46,19.0,179.0,1.0,162.53,Atlanta,Albuquerque,Austin,Phoenix,4.0
65.09,44.0,159.0,1.0,9370.9,Atlanta,Austin,Austin,Houston,7.0
457.09,55.0,63.0,1.0,8570.82,Atlanta,Austin,Austin,Columbus,5.0
552.02,44.0,100.00000000000001,1.0,522.08,Albuquerque,Austin,Austin,Phoenix,4.0
377.12,34.0,61.00000000000001,1.0,836.6699999999998,Atlanta,Austin,Albuquerque,El Paso,3.0
204.56,18.0,179.0,1.0,364.72,Atlanta,Austin,Atlanta,San Diego,6.0
420.28,35.0,144.0,1.0,8557.32,Atlanta,Atlanta,Albuquerque,Portland,4.0
97.09,24.0,202.0,4.0,1579.57,Atlanta,Albuquerque,Atlanta,Dallas,5.0
124.59,27.0,171.0,1.0,129.29,Atlanta,Atlanta,Albuquerque,Oklahoma City,8.0
73.88,39.0,34.0,1.0,6474.41,Atlanta,Albuquerque,Austin,Indianapolis,7.0
106.16,56.0,277.0,4.0,7487.790000000001,Atlanta,Austin,Albuquerque,Detroit,3.0
245.93,54.0,172.0,1.0,7986.629999999999,Atlanta,Albuquerque,Austin,Jacksonville,7.0
622.41,64.0,125.0,1.0,7322.01,Albuquerque,Austin,Baltimore,Louisville,1.0
43.73,34.0,145.0,1.0,9929.43,Atlanta,Austin,Albuquerque,Austin,0.0
1282.86,19.0,68.00000000000001,1.0,1830.98,Atlanta,Austin,Albuquerque,San Antonio,6.0
2.03,33.0,28.0,1.0,3012.31,Atlanta,Atlanta,Atlanta,San Francisco,6.0
770.65,31.0,137.0,1.0,7198.8,Atlanta,Austin,Albuquerque,San Jose,2.0
260.31,63.0,113.0,1.0,10980.38,Albuquerque,Austin,Albuquerque,Sacramento,6.0
356.1,26.0,187.0,1.0,868.35,Albuquerque,Atlanta,Baltimore,Kansas City,7.0
27.07,80.0,39.0,1.0,3773.2899999999995,Albuquerque,Atlanta,Austin,Omaha,4.0
119.89,67.0,60.00000000000001,1.0,6697.77,Atlanta,Albuquerque,Baltimore,Milwaukee,8.0
106.39,37.0,281.0,1.0,9410.99,Albuquerque,Atlanta,Boston,Omaha,4.0
12.04,37.0,58.00000000000001,1.0,6213.32,Atlanta,Atlanta,Atlanta,Kansas City,7.0
365.7,21.0,115.0,2.0,368.78,Atlanta,Austin,Austin,,2.0
29.38,28.0,63.0,1.0,1663.31,Atlanta,Albuquerque,Albuquerque,Miami,8.0
319.85,60.0,148.0,1.0,711.6599999999999,Albuquerque,Atlanta,Austin,Portland,4.0
350.14,75.0,37.99999999999999,1.0,2403.25,Atlanta,Atlanta,Baltimore,Tucson,2.0
163.94,52.0,73.0,1.0,5957.37,Atlanta,Atlanta,Albuquerque,,2.0
170.53,24.0,58.00000000000001,1.0,801.01,Atlanta,Albuquerque,Baltimore,Phoenix,4.0
262.22,40.0,136.0,1.0,5711.71,Albuquerque,Atlanta,Albuquerque,Nashville,8.0
41.49,24.0,13.0,1.0,928.33,Atlanta,Austin,Albuquerque,Memphis,1.0
121.43,52.0,243.0,1.0,7365.28,Albuquerque,Albuquerque,Baltimore,Tucson,2.0
350.46,51.0,165.0,1.0,5839.38,Albuquerque,Atlanta,Austin,Baltimore,0.0
220.41,26.0,155.0,1.0,5116.98,Albuquerque,Austin,Albuquerque,Dallas,5.0
33.46,72.0,111.0,1.0,3641.07,Atlanta,Atlanta,Baltimore,Jacksonville,7.0
104.79,70.0,223.0,1.0,1352.19,Albuquerque,Austin,Austin,San Antonio,6.0
246.27000000000004,29.0,141.0,1.0,7299.86,Atlanta,Atlanta,Albuquerque,Sacramento,6.0
48.85,19.0,176.0,1.0,1503.56,Austin,Albuquerque,Baltimore,Chicago,5.0
332.0,69.0,17.0,1.0,5943.13,Atlanta,Baltimore,Atlanta,San Antonio,6.0
118.1,54.0,167.0,1.0,895.6599999999999,Atlanta,Atlanta,Albuquerque,Omaha,4.0
84.59,67.0,10.0,1.0,5669.1,Atlanta,Austin,Atlanta,Charlotte,5.0
295.64,21.0,82.0,1.0,1061.96,Albuquerque,Albuquerque,Atlanta,Tucson,2.0
514.33,25.0,160.0,1.0,1592.94,Atlanta,Austin,Atlanta,Indianapolis,7.0
94.59,39.0,34.0,1.0,6171.89,Atlanta,Albuquerque,Albuquerque,Philadelphia,4.0
80.43,59.0,157.0,1.0,5987.67,Atlanta,Austin,Atlanta,Jacksonville,7.0
54.25,68.0,37.0,1.0,14783.33,Albuquerque,Austin,Atlanta,San Francisco,6.0
178.88,76.0,93.0,4.0,4708.29,Albuquerque,Atlanta,Atlanta,Milwaukee,8.0
518.85,22.0,82.0,1.0,1806.0,Atlanta,Atlanta,Austin,Atlanta,0.0
